Date,Open,High,Low,Close,Volume
09/28/2023,"152.63","155.56","152.43","155.50","5,571,684"
09/27/2023,"152.48","152.80","150.54","152.41","3,419,503"
09/26/2023,"153.00","154.01","151.80","151.90","3,461,990"
09/25/2023,"152.93","155.39","152.82","154.31","2,900,479"
09/22/2023,"155.42","155.84","153.51","153.78","3,206,785"
09/21/2023,"157.00","157.78","155.23","155.43","3,801,458"
09/20/2023,"158.60","159.42","157.35","157.64","2,301,142"
09/19/2023,"158.30","158.68","156.51","158.01","2,349,033"
09/18/2023,"159.91","160.15","158.08","158.44","2,729,369"
09/15/2023,"160.73","161.47","159.65","160.49","4,382,293"
09/14/2023,"159.76","160.88","159.03","160.73","2,796,439"
09/13/2023,"156.56","158.05","155.86","157.84","4,071,931"
09/12/2023,"157.37","158.00","155.10","156.57","6,232,521"
09/11/2023,"161.60","162.28","160.34","160.89","3,637,996"
09/08/2023,"162.42","162.42","160.60","161.04","3,561,848"
09/07/2023,"161.99","162.65","160.52","162.24","3,013,167"
09/06/2023,"163.88","164.25","161.45","162.31","3,883,549"
09/05/2023,"167.50","168.02","163.61","163.97","4,897,473"
09/01/2023,"170.52","170.68","167.34","168.00","3,286,591"
08/31/2023,"172.03","172.69","169.30","169.40","3,549,814"
08/30/2023,"172.05","172.75","170.99","172.01","2,713,341"
08/29/2023,"169.34","171.93","169.00","171.75","3,261,293"
08/28/2023,"169.70","170.66","167.96","168.84","1,967,777"
08/25/2023,"167.43","169.35","166.85","168.87","2,506,999"
08/24/2023,"168.03","168.82","166.97","167.00","2,207,639"
08/23/2023,"167.71","169.32","167.34","168.88","2,375,193"
08/22/2023,"169.00","170.36","166.40","166.86","2,702,240"
08/21/2023,"170.91","171.73","167.07","168.49","3,512,019"
08/18/2023,"169.81","172.16","169.81","171.24","2,868,452"
08/17/2023,"171.36","171.55","170.05","170.74","2,986,577"
08/16/2023,"172.10","173.58","170.58","170.74","2,500,538"
08/15/2023,"174.45","174.56","172.76","173.26","2,269,269"
08/14/2023,"176.12","176.44","174.56","175.51","2,980,792"
08/11/2023,"178.27","179.03","175.90","176.62","3,558,532"
08/10/2023,"180.08","182.25","179.93","180.38","3,964,791"
08/09/2023,"179.12","181.37","178.56","179.37","3,249,463"
08/08/2023,"183.06","184.33","176.02","180.55","6,433,351"
08/07/2023,"182.00","183.24","180.74","182.15","4,411,684"
08/04/2023,"182.13","182.60","180.47","180.94","4,437,391"
08/03/2023,"182.34","184.56","181.26","181.50","3,694,497"
08/02/2023,"183.95","185.36","182.84","183.35","2,012,694"
08/01/2023,"186.86","187.00","183.77","185.50","2,827,369"
07/31/2023,"187.81","188.32","186.20","187.13","2,325,150"
07/28/2023,"188.39","189.65","187.69","187.89","2,304,647"
07/27/2023,"185.12","187.23","184.05","186.52","3,251,374"
07/26/2023,"183.25","185.13","181.72","184.39","4,189,081"
07/25/2023,"187.81","192.98","182.14","184.69","10,006,570"
07/24/2023,"185.86","189.35","185.72","188.34","2,460,229"
07/21/2023,"186.91","189.48","186.74","187.30","5,071,459"
07/20/2023,"186.63","188.21","185.60","186.94","2,703,631"
07/19/2023,"184.60","186.47","184.60","186.02","3,019,087"
07/18/2023,"182.82","184.90","182.82","184.57","2,387,566"
07/17/2023,"184.48","184.50","182.42","182.74","2,556,717"
07/14/2023,"184.78","185.67","183.90","185.26","2,213,650"
07/13/2023,"186.64","187.82","185.33","185.36","2,857,410"
07/12/2023,"187.07","187.67","185.47","186.49","2,586,007"
07/11/2023,"181.93","185.50","181.36","185.24","2,896,662"
07/10/2023,"179.68","182.43","179.68","181.33","2,372,713"
07/07/2023,"178.11","181.72","178.04","179.76","3,145,285"
07/06/2023,"178.66","179.40","177.59","179.28","3,012,410"
07/05/2023,"179.37","181.70","178.79","179.97","4,820,629"
07/03/2023,"178.26","184.16","178.18","183.77","3,330,016"
06/30/2023,"176.59","179.65","175.56","179.25","4,892,851"
06/29/2023,"175.42","176.19","174.79","176.05","2,301,550"
